increment,learning_rate,train_samples,val_accuracy,best_epoch,training_time,synthetic_classes,synthetic_samples_per_class,total_synthetic
increment_1,0.0001,2305167,0.84994,750,16359.46265411377,1000,1000,1000000
increment_1,0.0005,2305167,0.84926,986,16343.185208559036,1000,1000,1000000
increment_1,0.001,2305167,0.84696,946,16335.71898818016,1000,1000,1000000
increment_2,0.0005,3329167,0.84922,965,19538.01159095764,1000,2000,2000000
increment_2,0.0001,3329167,0.84866,909,19622.83092689514,1000,2000,2000000
increment_2,0.001,3329167,0.84488,961,19534.539924383163,1000,2000,2000000
increment_3,0.0001,4353167,0.84862,850,22512.634933948517,1000,3000,3000000
increment_3,0.0005,4353167,0.84752,902,22488.686872959137,1000,3000,3000000
increment_3,0.001,4353167,0.8432,933,22469.577777147293,1000,3000,3000000
original,0.0001,1281167,0.85022,892,13541.539694786072,0,0,0
original,0.0005,1281167,0.85018,931,13532.363179445267,0,0,0
original,0.001,1281167,0.84896,960,13533.454450845718,0,0,0
