increment,learning_rate,train_samples,val_accuracy,best_epoch,training_time,synthetic_classes,synthetic_samples_per_class,total_synthetic
increment_1,0.0001,2305167,0.85086,876,16716.749276399612,1200,1000,1200000
increment_1,0.0005,2305167,0.8508,931,16711.34460425377,1200,1000,1200000
increment_1,5e-05,2305167,0.85048,724,16707.019123077393,1200,1000,1200000
increment_2,0.0001,3329167,0.85054,920,20034.291848421097,1200,2000,2400000
increment_2,0.0005,3329167,0.85058,955,20015.878336906433,1200,2000,2400000
increment_2,5e-05,3329167,0.85054,164,20026.37443614006,1200,2000,2400000
increment_3,0.0001,4353167,0.85044,846,21901.87161374092,1200,3000,3600000
increment_3,0.0005,4353167,0.84958,845,21894.129615545273,1200,3000,3600000
increment_3,5e-05,4353167,0.85024,858,21861.628279924393,1200,3000,3600000
original,0.0001,1281167,0.85132,866,13042.070350408554,0,0,0
original,0.0005,1281167,0.85108,927,13039.794030666351,0,0,0
original,5e-05,1281167,0.85022,588,13033.16096496582,0,0,0
